No,Facility Name,Category,Type,Free / Paid,Primary contact,Secandory contact,Email,Provice,District,Nearest Town / City,DS Division / Area,Full Address / Location Detail,Capabilities / Services,Available Hours,Available Doctors / Key Staff,Web site,Other Valuable Points / Notes,HTML code,Submitter Name,Submitter Contact,Submitter e-mail,Agreement
1,Teaching Hospital / Provincial General Hospital - Badulla (Mental Health Unit),Mental Health,Government Tertiary Hospital,Free,1238,055-2222261 - 2; Psychiatry Ext ~1239,info@thbadulla.health.gov.lk; thbadulla@gmail.com; director@thbadulla.health.gov.lk,Uva Province,Badulla,Badulla,Badulla,"Daya Gunasekara Mawatha, Badulla","Acute Psychiatry Unit (inpatient Wards 38/39, ~42-56 beds M/F); Outpatient MH Clinic; Liaison psychiatry; Child mental health; ECT; Specialized psychotherapies; Mithuru Piyasa (GBV); 24/7 emergency; Consumer & Carer Associations","OPD Clinics: Mon 8am-12pm, Tue 7am-12pm, Thu/Fri/Sat 8am-12pm; Hospital 24/7 emergency","Dr. Kamal Walgama (MBBS, MSc Clinical Psychology, MD Psychiatry); Dr. P.D.L.R. Wijesinghe / Dr. Danoja Wijesinghe (MBBS, MD Psychiatry); Historical: Dr. Pubudu Pandithasekara, Dr. Ranjith Siriwardana",,Premier tertiary MH facility in Uva Province. Ideal main partner for PFA events. Coordinate via RDHS.,"<tr><td>Teaching Hospital / Provincial General Hospital - Badulla (Mental Health Unit)<div class=""e-mail"">info@thbadulla.health.gov.lk; thbadulla@gmail.com; director@thbadulla.health.gov.lk</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:1238"" class=""phone-link"">1238</a><div class=""phone-secondary"">055-2222261 - 2; Psychiatry Ext ~1239</div></td><td>Free</td></tr>",,,,
2,Base Hospital - Diyatalawa (Diyathalawa),Mental Health,Government Base Hospital (Type A),Free,057-2229061,,mstudiyathalawa@gmail.com,Uva Province,Badulla,Diyatalawa,Bandarawela / Haputale area,Diyatalawa,Mental Health Clinic; Mithuru Piyasa (GBV); Yowun Piyasa (youth); Consumer & Carer Associations; PEP support point,Typical government OPD ~8am-4pm weekdays (confirm locally); ETU 24h,Consultant Psychiatrist: Dr. Udayanga Perera (Directorate listing),,Key secondary care MH clinic. Strong for youth-focused PFA.,"<tr><td>Base Hospital - Diyatalawa (Diyathalawa)<div class=""e-mail"">mstudiyathalawa@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:057-2229061"" class=""phone-link"">057-2229061</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
3,Base Hospital - Mahiyanganaya,Mental Health + STD,Government Base Hospital (Type A),Free,055-4936722,055-4936779 (STD Clinic),bhmahiyanganaya@gmail.com; stdclinicmyg@gmail.com,Uva Province,Badulla,Mahiyanganaya,Mahiyanganaya,"Base Hospital, Mahiyanganaya (STD Clinic Room 22)","Mental Health Clinic; Full STD/HIV services (diagnosis, treatment, counseling, testing, ART, PEP); ETU/OT PEP support","MH & STD: typical Mon-Fri ~8am-4pm, Sat morning (confirm); Hospital emergency 24h",MH: Dr. Ayodhya Malalagama / Dr. Anoma Jayasinghe (listings); STD: Dr. Baratha Dissanayake (MO) / previously Dr. Udari Gallage,,Eastern district hub. Both MH and dedicated STD clinic available.,"<tr><td>Base Hospital - Mahiyanganaya<div class=""e-mail"">bhmahiyanganaya@gmail.com; stdclinicmyg@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-4936722"" class=""phone-link"">055-4936722</a><div class=""phone-secondary"">055-4936779 (STD Clinic)</div></td><td>Free</td></tr>",,,,
4,Base Hospital - Welimada,Mental Health,Government Base Hospital (Type B),Free,057-2245161,,basehospital.welimada@gmail.com,Uva Province,Badulla,Welimada,Welimada,Welimada,Mental Health Clinic; Mithuru Piyasa (GBV); Consumer & Carer Associations; PEP support (Ward 04 Medical),Typical government clinic hours ~8am-4pm; ETU 24h,Medical Officers / visiting consultants,,Western Badulla coverage. Good for GBV-linked PFA.,"<tr><td>Base Hospital - Welimada<div class=""e-mail"">basehospital.welimada@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:057-2245161"" class=""phone-link"">057-2245161</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
5,Divisional Hospital - Bandarawela,Mental Health,Government Divisional Hospital (Type A),Free,057-2222261,,districthospitalbandarawela@gmail.com,Uva Province,Badulla,Bandarawela,Bandarawela,Bandarawela,Mental Health Clinic; Mithuru Piyasa (GBV),Typical government hours ~8am-4pm (confirm),MO Mental Health / visiting,,Important secondary town. Close to Sumithrayo.,"<tr><td>Divisional Hospital - Bandarawela<div class=""e-mail"">districthospitalbandarawela@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:057-2222261"" class=""phone-link"">057-2222261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
6,Divisional Hospital - Passara,Mental Health,Government Divisional Hospital,Free,055-2288261,,,Uva Province,Badulla,Passara,Passara,Passara,Mental Health Clinic (listed in Directorate services),Typical government hours (confirm),MO / visiting,,Northern coverage of district.,"<tr><td>Divisional Hospital - Passara<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2288261"" class=""phone-link"">055-2288261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
7,Divisional Hospital - Meegahakiula (Meegahakiwula),Mental Health,Government Divisional Hospital,Free,055-2245761,,,Uva Province,Badulla,Meegahakiula,Meegahakivula,Meegahakiula,Mental Health Clinic,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Meegahakiula (Meegahakiwula)<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2245761"" class=""phone-link"">055-2245761</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
8,Divisional Hospital - Girandurukotte,Mental Health,Government Divisional Hospital,Free,027-2254261,,dhgkotte@gmail.com,Uva Province,Badulla,Girandurukotte,Mahiyanganaya / Rideemaliyadda,Girandurukotte,Mental Health Clinic,Typical government hours (confirm),MO,,Serves eastern rural areas including near Dambana.,"<tr><td>Divisional Hospital - Girandurukotte<div class=""e-mail"">dhgkotte@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:027-2254261"" class=""phone-link"">027-2254261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
9,Divisional Hospital - Boralanda,Mental Health,Government Divisional Hospital,Free,057-2280461,,divboralanda@gmail.com,Uva Province,Badulla,Boralanda,Welimada,Boralanda,Mental Health Clinic,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Boralanda<div class=""e-mail"">divboralanda@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:057-2280461"" class=""phone-link"">057-2280461</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
10,Divisional Hospital - Dambana,Mental Health,Government Divisional Hospital,Free,055-4934167,,dambanahospital@gmail.com,Uva Province,Badulla,Dambana,Mahiyanganaya,Dambana,Mental Health Clinic,Typical government hours (confirm),MO,,Near indigenous Vedda community – culturally sensitive approach needed for PFA.,"<tr><td>Divisional Hospital - Dambana<div class=""e-mail"">dambanahospital@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-4934167"" class=""phone-link"">055-4934167</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
